ndviMean,ndviMedian,ndviStdDev
"springNDVI=0.024323448360589653, fallNDVI=0.009968126670686805","springNDVI=0.0, fallNDVI=0.0","springNDVI=0.11813693856905648, fallNDVI=0.053872617763483614"
"springNDVI=0.003947504559910405, fallNDVI=0.003044035442613244","springNDVI=1.1118347512098916E-9, fallNDVI=8.748376204920564E-9","springNDVI=0.022840429306186735, fallNDVI=0.01515789003430522"
"springNDVI=0.011536927523847705, fallNDVI=0.012051827843571887","springNDVI=0.0, fallNDVI=0.0","springNDVI=0.07995806758435546, fallNDVI=0.08498318053549912"
"springNDVI=0.013357989780101819, fallNDVI=0.016567276233763636","springNDVI=0.0, fallNDVI=0.0","springNDVI=0.08325321617417591, fallNDVI=0.09351772048460158"
"springNDVI=0.0013254196623571398, fallNDVI=0.0012854131161005068","springNDVI=3.5422391615728893E-9, fallNDVI=2.2097121014584263E-7","springNDVI=0.018965166344861648, fallNDVI=0.017885021149404556"
"springNDVI=0.08157683849603624, fallNDVI=0.07016265579148655","springNDVI=0.0, fallNDVI=0.0","springNDVI=0.2002026031787741, fallNDVI=0.1795699484250731"
"springNDVI=0.23959246806141915, fallNDVI=0.16501775652304632","springNDVI=0.0, fallNDVI=0.0","springNDVI=0.37831311239876414, fallNDVI=0.2708764834508052"
"springNDVI=0.012084964776568898, fallNDVI=0.011190585416106702","springNDVI=2.1966578544482303E-8, fallNDVI=5.188510009490456E-7","springNDVI=0.04680986118500375, fallNDVI=0.04362117119297504"
"springNDVI=0.026978286212685314, fallNDVI=0.030599554300633623","springNDVI=0.0, fallNDVI=4.929520790995358E-9","springNDVI=0.11913959145216198, fallNDVI=0.13075556291738397"
"springNDVI=0.0028859699163623037, fallNDVI=0.0028444269073795323","springNDVI=2.093163131699176E-7, fallNDVI=1.017277876380581E-6","springNDVI=0.025809933506448463, fallNDVI=0.026936603381531917"
"springNDVI=0.025087919147381687, fallNDVI=0.022189769696120742","springNDVI=0.0, fallNDVI=2.1653243998797058E-8","springNDVI=0.0732914333132226, fallNDVI=0.06334640471706174"
"springNDVI=0.0011735803853717723, fallNDVI=0.0013158400737324327","springNDVI=0.0, fallNDVI=0.0","springNDVI=0.020730326218365083, fallNDVI=0.02314332248129586"
